representation,algorithm,k,silhouette,davies_bouldin,ARI
MFCC->PCA(8),KMeans,2,0.4350528120994568,0.8828412567823382,0.05378629675897495
MFCC->PCA(8),KMeans,3,0.32564741373062134,1.0118739815511602,0.055248272713867216
MFCC->PCA(8),KMeans,4,0.2710064947605133,1.149283442762176,0.05710170755403778
MFCC->PCA(8),KMeans,5,0.22180311381816864,1.294451214170611,0.06046595783525799
MFCC->PCA(8),Agglomerative,3,0.27333784103393555,1.0842952142709918,0.07521699029816112
MFCC->PCA(8),DBSCAN,-,,,
Dense VAE,KMeans,2,0.3202800750732422,1.2072128730945098,0.07167103636487876
Dense VAE,KMeans,3,0.3637162744998932,0.9557094307012411,0.16372022608875528
Dense VAE,KMeans,4,0.3336024582386017,1.0517346668067873,0.1474574895461322
Dense VAE,KMeans,5,0.30136406421661377,1.0916727907719779,0.1365561010968174
Dense VAE,Agglomerative,3,0.3120310306549072,1.0764212177074206,0.15727334107810198
Dense VAE,DBSCAN,-,,,
Conv VAE,KMeans,2,0.42512547969818115,0.8862106505504823,0.039450777648179086
Conv VAE,KMeans,3,0.3610058128833771,0.9576206799317535,0.06328933719748081
Conv VAE,KMeans,4,0.3448282480239868,0.9687112563317832,0.07999859573095931
Conv VAE,KMeans,5,0.32147660851478577,0.9564457542441447,0.06928666998000056
Conv VAE,Agglomerative,3,0.3270649015903473,0.9140668702200214,0.05117560654288957
Conv VAE,DBSCAN,-,,,
Beta-Conv VAE (beta = 1),KMeans,2,0.4269638955593109,0.8824323802301847,0.0406810672335784
Beta-Conv VAE (beta = 1),KMeans,3,0.36269262433052063,0.9635363545977688,0.05924221315681288
Beta-Conv VAE (beta = 1),KMeans,4,0.3582306504249573,0.9432241139606037,0.07784384712998148
Beta-Conv VAE (beta = 1),KMeans,5,0.3380158543586731,0.9035062257303155,0.05529552238069387
Beta-Conv VAE (beta = 1),Agglomerative,3,0.29377326369285583,1.1349598630158129,0.05163553893815189
Beta-Conv VAE (beta = 1),DBSCAN,-,,,
Beta-Conv VAE (beta = 4),KMeans,2,0.5533198118209839,0.6257239074336158,0.03553484534464884
Beta-Conv VAE (beta = 4),KMeans,3,0.5262851715087891,0.5803951463947671,0.056215530983353024
Beta-Conv VAE (beta = 4),KMeans,4,0.5053442120552063,0.5866034185864858,0.04951659412716874
Beta-Conv VAE (beta = 4),KMeans,5,0.5026286244392395,0.5819645247368401,0.04773505354605052
Beta-Conv VAE (beta = 4),Agglomerative,3,0.47933900356292725,0.6168754292090037,0.06304310019361065
Beta-Conv VAE (beta = 4),DBSCAN,-,,,
Beta-Conv VAE (beta = 10),KMeans,2,,,
Beta-Conv VAE (beta = 10),KMeans,3,,,
Beta-Conv VAE (beta = 10),KMeans,4,,,
Beta-Conv VAE (beta = 10),KMeans,5,,,
Beta-Conv VAE (beta = 10),Agglomerative,3,0.0,0.9999999628255923,1.6048263517870634e-05
Beta-Conv VAE (beta = 10),DBSCAN,-,,,
Conv Autoencoder,KMeans,2,0.2512378990650177,1.779254605018431,0.03054923884255664
Conv Autoencoder,KMeans,3,0.12009573727846146,2.131899588847278,0.057056641980471355
Conv Autoencoder,KMeans,4,0.1137113869190216,2.206734139767575,0.09217407561289569
Conv Autoencoder,KMeans,5,0.08605822920799255,2.327255209438444,0.07802195594726544
Conv Autoencoder,Agglomerative,3,0.047044068574905396,2.043667956005173,0.041459779716439646
Conv Autoencoder,DBSCAN,-,,,
